ID,Name,Repository,Stars,LOC,Stars_Group
48,sling-org-apache-sling-jobs-it,https://github.com/apache/sling-org-apache-sling-jobs-it.git,1,880,1.0
49,sling-org-apache-sling-hc-support,https://github.com/apache/sling-org-apache-sling-hc-support.git,1,895,1.0
50,sling-org-apache-sling-testing-email,https://github.com/apache/sling-org-apache-sling-testing-email.git,1,897,1.0
51,sling-org-apache-sling-launchpad-startupmanager,https://github.com/apache/sling-org-apache-sling-launchpad-startupmanager.git,1,904,1.0
52,sling-org-apache-sling-jcr-davex,https://github.com/apache/sling-org-apache-sling-jcr-davex.git,2,913,1.0
53,sling-org-apache-sling-installer-factory-packages,https://github.com/apache/sling-org-apache-sling-installer-factory-packages.git,1,914,1.0
54,sling-org-apache-sling-resource-presence,https://github.com/apache/sling-org-apache-sling-resource-presence.git,1,917,1.0
55,dubbo-serializtion-gson,https://github.com/apache/dubbo-serialization-gson.git,2,918,1.0
56,sling-org-apache-sling-scripting-jsp-taglib-compat,https://github.com/apache/sling-org-apache-sling-scripting-jsp-taglib-compat.git,1,924,1.0
57,sling-org-apache-sling-hc-junit-bridge,https://github.com/apache/sling-org-apache-sling-hc-junit-bridge.git,1,924,1.0
58,accumulo-instamo-archetype,https://github.com/apache/accumulo-instamo-archetype.git,3,940,1.0
59,sling-org-apache-sling-hc-samples,https://github.com/apache/sling-org-apache-sling-hc-samples.git,3,980,1.0
60,sling-org-apache-sling-installer-factory-subsystems-base,https://github.com/apache/sling-org-apache-sling-installer-factory-subsystems-base.git,1,990,1.0
61,commons-signing,https://github.com/apache/commons-signing.git,1,991,1.0
62,sling-org-apache-sling-feature-r2f,https://github.com/apache/sling-org-apache-sling-feature-r2f.git,1,1000,1.0
63,dubbo-rpc-jsonrpc,https://github.com/apache/dubbo-rpc-jsonrpc.git,186,1000,1.0
64,sling-org-apache-sling-nosql-couchbase-resourceprovider,https://github.com/apache/sling-org-apache-sling-nosql-couchbase-resourceprovider.git,1,1000,1.0
65,sling-org-apache-sling-nosql-mongodb-resourceprovider,https://github.com/apache/sling-org-apache-sling-nosql-mongodb-resourceprovider.git,2,1000,1.0
66,sling-org-apache-sling-discovery-api,https://github.com/apache/sling-org-apache-sling-discovery-api.git,1,1000,1.0
67,sling-org-apache-sling-distribution-kryo-serializer,https://github.com/apache/sling-org-apache-sling-distribution-kryo-serializer.git,1,1100,1.0
68,sling-org-apache-sling-distribution-sample,https://github.com/apache/sling-org-apache-sling-distribution-sample.git,5,1100,1.0
69,fineract-cn-async,https://github.com/apache/fineract-cn-async.git,2,1100,1.0
70,sling-org-apache-sling-commons-contentdetection,https://github.com/apache/sling-org-apache-sling-commons-contentdetection.git,1,1100,1.0
71,sling-org-apache-sling-discovery-standalone,https://github.com/apache/sling-org-apache-sling-discovery-standalone.git,1,1100,1.0
72,sling-org-apache-sling-models-validation-impl,https://github.com/apache/sling-org-apache-sling-models-validation-impl.git,1,1100,1.0
73,sling-org-apache-sling-scripting-spi,https://github.com/apache/sling-org-apache-sling-scripting-spi.git,1,1100,1.0
74,sling-org-apache-sling-contentparser-xml,https://github.com/apache/sling-org-apache-sling-contentparser-xml.git,1,1100,1.0
75,sling-org-apache-sling-javax-activation,https://github.com/apache/sling-org-apache-sling-javax-activation.git,2,1100,1.0
76,sling-org-apache-sling-oak-restrictions,https://github.com/apache/sling-org-apache-sling-oak-restrictions.git,1,1100,1.0
77,sling-org-apache-sling-tooling-support-source,https://github.com/apache/sling-org-apache-sling-tooling-support-source.git,1,1100,1.0
78,sling-org-apache-sling-launchpad-installer,https://github.com/apache/sling-org-apache-sling-launchpad-installer.git,3,1100,1.0
79,sling-org-apache-sling-resource-inventory,https://github.com/apache/sling-org-apache-sling-resource-inventory.git,1,1100,1.0
80,sling-org-apache-sling-jcr-presence,https://github.com/apache/sling-org-apache-sling-jcr-presence.git,1,1100,1.0
81,sling-org-apache-sling-adapter-annotations,https://github.com/apache/sling-org-apache-sling-adapter-annotations.git,2,1100,1.0
82,sling-org-apache-sling-installer-console,https://github.com/apache/sling-org-apache-sling-installer-console.git,1,1100,1.0
83,sling-org-apache-sling-extensions-webconsolesecurityprovider,https://github.com/apache/sling-org-apache-sling-extensions-webconsolesecurityprovider.git,1,1200,1.0
84,fineract-cn-default-setup,https://github.com/apache/fineract-cn-default-setup.git,2,1200,1.0
85,sling-org-apache-sling-jcr-jackrabbit-base,https://github.com/apache/sling-org-apache-sling-jcr-jackrabbit-base.git,1,1200,1.0
86,sling-org-apache-sling-featureflags,https://github.com/apache/sling-org-apache-sling-featureflags.git,2,1200,1.0
87,sling-org-apache-sling-caconfig-integration-tests,https://github.com/apache/sling-org-apache-sling-caconfig-integration-tests.git,1,1200,1.0
88,sling-org-apache-sling-contentparser-xml-jcr,https://github.com/apache/sling-org-apache-sling-contentparser-xml-jcr.git,1,1200,1.0
89,sling-org-apache-sling-paxexam-util,https://github.com/apache/sling-org-apache-sling-paxexam-util.git,1,1200,1.0
90,sling-org-apache-sling-installer-factory-model,https://github.com/apache/sling-org-apache-sling-installer-factory-model.git,1,1300,1.0
91,sling-org-apache-sling-jcr-registration,https://github.com/apache/sling-org-apache-sling-jcr-registration.git,1,1300,1.0
92,sling-org-apache-sling-auth-xing-oauth,https://github.com/apache/sling-org-apache-sling-auth-xing-oauth.git,1,1300,1.0
93,sling-org-apache-sling-jcr-filetransfer,https://github.com/apache/sling-org-apache-sling-jcr-filetransfer.git,1,1300,1.0
94,sling-launchpad-comparator,https://github.com/apache/sling-launchpad-comparator.git,1,1300,1.0
95,sling-servlet-archetype,https://github.com/apache/sling-servlet-archetype.git,1,1300,1.0
96,sling-org-apache-sling-auth-xing-login,https://github.com/apache/sling-org-apache-sling-auth-xing-login.git,1,1400,1.0
97,sling-org-apache-sling-installer-provider-file,https://github.com/apache/sling-org-apache-sling-installer-provider-file.git,2,1400,1.0
98,sling-org-apache-sling-extensions-slf4j-mdc,https://github.com/apache/sling-org-apache-sling-extensions-slf4j-mdc.git,1,1400,1.0
99,sling-org-apache-sling-distribution-api,https://github.com/apache/sling-org-apache-sling-distribution-api.git,1,1400,1.0
100,dubbo-sentinel-support,https://github.com/apache/dubbo-sentinel-support.git,52,1400,1.0
101,sling-org-apache-sling-scripting-groovy,https://github.com/apache/sling-org-apache-sling-scripting-groovy.git,1,1400,1.0
102,sling-org-apache-sling-validation-api,https://github.com/apache/sling-org-apache-sling-validation-api.git,1,1400,1.0
103,sling-org-apache-sling-testing-caconfig-mock-plugin,https://github.com/apache/sling-org-apache-sling-testing-caconfig-mock-plugin.git,1,1400,1.0
104,sling-org-apache-sling-commons-clam,https://github.com/apache/sling-org-apache-sling-commons-clam.git,2,1500,1.0
105,sling-org-apache-sling-distribution-journal-messages,https://github.com/apache/sling-org-apache-sling-distribution-journal-messages.git,2,1500,1.0
106,sling-org-apache-sling-discovery-support,https://github.com/apache/sling-org-apache-sling-discovery-support.git,1,1500,1.0
107,sling-org-apache-sling-tail,https://github.com/apache/sling-org-apache-sling-tail.git,2,1500,1.0
108,sling-org-apache-sling-distribution-avro-serializer,https://github.com/apache/sling-org-apache-sling-distribution-avro-serializer.git,1,1500,1.0
109,sling-org-apache-sling-resourcecollection,https://github.com/apache/sling-org-apache-sling-resourcecollection.git,2,1500,1.0
110,sling-feature-launcher-maven-plugin,https://github.com/apache/sling-feature-launcher-maven-plugin.git,1,1500,1.0
111,sling-org-apache-sling-junit-remote,https://github.com/apache/sling-org-apache-sling-junit-remote.git,1,1500,1.0
112,sling-org-apache-sling-serviceuser-webconsole,https://github.com/apache/sling-org-apache-sling-serviceuser-webconsole.git,1,1500,1.0
113,sling-org-apache-sling-contentparser-json,https://github.com/apache/sling-org-apache-sling-contentparser-json.git,1,1600,1.0
114,sling-org-apache-sling-testing-hamcrest,https://github.com/apache/sling-org-apache-sling-testing-hamcrest.git,2,1600,1.0
115,sling-org-apache-sling-junit-scriptable,https://github.com/apache/sling-org-apache-sling-junit-scriptable.git,1,1600,1.0
116,isis-app-helloworld,https://github.com/apache/isis-app-helloworld.git,2,1600,1.0
117,turbine-fulcrum-crypto,https://github.com/apache/turbine-fulcrum-crypto.git,1,1600,1.0
118,sling-org-apache-sling-event-dea,https://github.com/apache/sling-org-apache-sling-event-dea.git,1,1600,1.0
119,turbine-fulcrum-upload,https://github.com/apache/turbine-fulcrum-upload.git,1,1700,1.0
120,sling-org-apache-sling-feature-diff,https://github.com/apache/sling-org-apache-sling-feature-diff.git,1,1700,1.0
121,predictionio-template-java-ecom-recommender,https://github.com/apache/predictionio-template-java-ecom-recommender.git,37,1700,1.0
122,sling-org-apache-sling-resourceaccesssecurity,https://github.com/apache/sling-org-apache-sling-resourceaccesssecurity.git,2,1700,1.0
123,sling-org-apache-sling-commons-metrics-rrd4j,https://github.com/apache/sling-org-apache-sling-commons-metrics-rrd4j.git,1,1700,1.0
124,sling-org-apache-sling-reqanalyzer,https://github.com/apache/sling-org-apache-sling-reqanalyzer.git,3,1700,1.0
125,fineract-cn-data-jpa,https://github.com/apache/fineract-cn-data-jpa.git,2,1800,1.0
126,sling-org-apache-sling-mongodb,https://github.com/apache/sling-org-apache-sling-mongodb.git,3,1800,1.0
127,sling-org-apache-sling-settings,https://github.com/apache/sling-org-apache-sling-settings.git,4,1800,1.0
128,sling-org-apache-sling-feature-apiregions-model,https://github.com/apache/sling-org-apache-sling-feature-apiregions-model.git,1,1800,1.0
129,sling-org-apache-sling-models-jacksonexporter,https://github.com/apache/sling-org-apache-sling-models-jacksonexporter.git,1,1800,1.0
130,sling-org-apache-sling-commons-fsclassloader,https://github.com/apache/sling-org-apache-sling-commons-fsclassloader.git,1,1800,1.0
131,shardingsphere-elasticjob-example,https://github.com/apache/shardingsphere-elasticjob-example.git,193,1800,1.0
132,sling-org-apache-sling-jmx-provider,https://github.com/apache/sling-org-apache-sling-jmx-provider.git,2,1800,1.0
133,datasketches-memory16,https://github.com/apache/datasketches-memory16.git,2,1900,1.0
134,manifoldcf-integration-elasticsearch-5.5,https://github.com/apache/manifoldcf-integration-elasticsearch-5.5.git,1,1900,1.0
135,netbeans-mavenutils-nb-repository-plugin,https://github.com/apache/netbeans-mavenutils-nb-repository-plugin.git,1,1900,1.0
136,samza-beam-examples,https://github.com/apache/samza-beam-examples.git,6,1900,1.0
137,sling-org-apache-sling-jcr-api,https://github.com/apache/sling-org-apache-sling-jcr-api.git,2,1900,1.0
138,manifoldcf-integration-elasticsearch,https://github.com/apache/manifoldcf-integration-elasticsearch.git,1,1900,1.0
139,sling-org-apache-sling-installer-factory-feature,https://github.com/apache/sling-org-apache-sling-installer-factory-feature.git,1,1900,1.0
140,sling-org-apache-sling-scripting-api,https://github.com/apache/sling-org-apache-sling-scripting-api.git,1,1900,1.0
141,turbine-fulcrum-quartz,https://github.com/apache/turbine-fulcrum-quartz.git,1,1900,1.0
142,log4j-zeroconf,https://github.com/apache/log4j-zeroconf.git,5,2000,1.0
143,sling-org-apache-sling-resourcebuilder,https://github.com/apache/sling-org-apache-sling-resourcebuilder.git,2,2000,1.0
144,sling-org-apache-sling-distribution-journal-kafka,https://github.com/apache/sling-org-apache-sling-distribution-journal-kafka.git,1,2000,1.0
145,turbine-fulcrum-factory,https://github.com/apache/turbine-fulcrum-factory.git,1,2000,1.0
146,turbine-fulcrum-pool,https://github.com/apache/turbine-fulcrum-pool.git,1,2100,1.0
147,sling-org-apache-sling-hc-api,https://github.com/apache/sling-org-apache-sling-hc-api.git,1,2100,1.0
148,fineract-cn-service-starter,https://github.com/apache/fineract-cn-service-starter.git,2,2100,1.0
149,sling-org-apache-sling-tenant,https://github.com/apache/sling-org-apache-sling-tenant.git,2,2100,1.0
150,sling-org-apache-sling-servlets-annotations,https://github.com/apache/sling-org-apache-sling-servlets-annotations.git,2,2100,1.0
151,fineract-cn-crypto,https://github.com/apache/fineract-cn-crypto.git,3,2100,1.0
152,sling-org-apache-sling-resourceaccesssecurity-it,https://github.com/apache/sling-org-apache-sling-resourceaccesssecurity-it.git,1,2100,1.0
153,sling-org-apache-sling-commons-log-webconsole,https://github.com/apache/sling-org-apache-sling-commons-log-webconsole.git,2,2100,1.0
154,geronimo-genesis,https://github.com/apache/geronimo-genesis.git,2,2100,1.0
155,sling-org-apache-sling-connection-timeout-agent,https://github.com/apache/sling-org-apache-sling-connection-timeout-agent.git,1,2200,1.0
156,fineract-cn-command,https://github.com/apache/fineract-cn-command.git,3,2200,1.0
157,logging-log4j-audit-sample,https://github.com/apache/logging-log4j-audit-sample.git,6,2200,1.0
158,sling-org-apache-sling-caconfig-spi,https://github.com/apache/sling-org-apache-sling-caconfig-spi.git,1,2200,1.0
159,sling-org-apache-sling-hapi-client,https://github.com/apache/sling-org-apache-sling-hapi-client.git,2,2200,1.0
160,sling-org-apache-sling-commons-compiler,https://github.com/apache/sling-org-apache-sling-commons-compiler.git,1,2200,1.0
161,fineract-cn-cassandra,https://github.com/apache/fineract-cn-cassandra.git,2,2200,1.0
162,sling-org-apache-sling-datasource,https://github.com/apache/sling-org-apache-sling-datasource.git,3,2200,1.0
163,sling-org-apache-sling-superimposing,https://github.com/apache/sling-org-apache-sling-superimposing.git,2,2300,1.0
164,sling-org-apache-sling-commons-classloader,https://github.com/apache/sling-org-apache-sling-commons-classloader.git,3,2300,1.0
165,sling-org-apache-sling-feature-resolver,https://github.com/apache/sling-org-apache-sling-feature-resolver.git,1,2300,1.0
166,ant-easyant-buildtypes,https://github.com/apache/ant-easyant-buildtypes.git,2,2300,1.0
167,sling-org-apache-sling-testing-serversetup,https://github.com/apache/sling-org-apache-sling-testing-serversetup.git,3,2400,1.0
168,manifoldcf-integration-solr-3.x,https://github.com/apache/manifoldcf-integration-solr-3.x.git,1,2400,1.0
169,openwhisk-runtime-ballerina,https://github.com/apache/openwhisk-runtime-ballerina.git,7,2400,1.0
170,openwhisk-sample-matos,https://github.com/apache/openwhisk-sample-matos.git,2,2400,1.0
171,sling-org-apache-sling-junit-teleporter,https://github.com/apache/sling-org-apache-sling-junit-teleporter.git,1,2400,1.0
172,openwebbeans-peeco,https://github.com/apache/openwebbeans-peeco.git,1,2400,1.0
173,sling-org-apache-sling-event-api,https://github.com/apache/sling-org-apache-sling-event-api.git,1,2400,1.0
174,sling-org-apache-sling-installer-factory-configuration,https://github.com/apache/sling-org-apache-sling-installer-factory-configuration.git,2,2500,1.0
175,turbine-fulcrum-localization,https://github.com/apache/turbine-fulcrum-localization.git,1,2500,1.0
176,fineract-cn-api,https://github.com/apache/fineract-cn-api.git,4,2500,1.0
177,manifoldcf-integration-solr-6.x,https://github.com/apache/manifoldcf-integration-solr-6.x.git,1,2500,0.0
178,logging-log4j-boot,https://github.com/apache/logging-log4j-boots.git,4,2500,1.0
179,sling-htl-maven-plugin,https://github.com/apache/sling-htl-maven-plugin.git,2,2500,1.0
180,fineract-cn-template,https://github.com/apache/fineract-cn-template.git,7,2500,1.0
181,manifoldcf-integration-solr-7.x,https://github.com/apache/manifoldcf-integration-solr-7.x.git,2,2500,1.0
182,sling-org-apache-sling-junit-performance,https://github.com/apache/sling-org-apache-sling-junit-performance.git,1,2500,1.0
183,sling-org-apache-sling-jms,https://github.com/apache/sling-org-apache-sling-jms.git,3,2600,1.0
184,predictionio-sdk-java,https://github.com/apache/predictionio-sdk-java.git,108,2700,1.0
185,sling-org-apache-sling-jcr-oak-server,https://github.com/apache/sling-org-apache-sling-jcr-oak-server.git,2,2700,1.0
186,dolphinscheduler-maven-plugin,https://github.com/apache/dolphinscheduler-maven-plugin.git,7,2700,1.0
187,sling-org-apache-sling-security,https://github.com/apache/sling-org-apache-sling-security.git,5,2800,1.0
188,sling-org-apache-sling-starter,https://github.com/apache/sling-org-apache-sling-starter.git,15,2800,1.0
189,sling-org-apache-sling-distribution-it,https://github.com/apache/sling-org-apache-sling-distribution-it.git,1,2800,1.0
190,sling-kickstart-maven-plugin,https://github.com/apache/sling-kickstart-maven-plugin.git,1,2800,1.0
191,sling-org-apache-sling-file-optimization,https://github.com/apache/sling-org-apache-sling-file-optimization.git,1,2800,1.0
192,accumulo-maven-plugin,https://github.com/apache/accumulo-maven-plugin.git,5,2800,1.0
193,fineract-cn-permitted-feign-client,https://github.com/apache/fineract-cn-permitted-feign-client.git,2,2900,1.0
194,turbine-fulcrum-testcontainer,https://github.com/apache/turbine-fulcrum-testcontainer.git,1,2900,1.0
195,sling-org-apache-sling-testing-sling-mock-oak,https://github.com/apache/sling-org-apache-sling-testing-sling-mock-oak.git,3,2900,1.0
196,fineract-cn-test,https://github.com/apache/fineract-cn-test.git,3,2900,1.0
197,sling-org-apache-sling-commons-jcr-file,https://github.com/apache/sling-org-apache-sling-commons-jcr-file.git,1,3000,1.0
198,sling-org-apache-sling-nosql-generic,https://github.com/apache/sling-org-apache-sling-nosql-generic.git,2,3000,1.0
199,incubator-taverna-plugin-gis,https://github.com/apache/incubator-taverna-plugin-gis.git,3,3000,1.0
200,sling-org-apache-sling-scripting-sightly-runtime,https://github.com/apache/sling-org-apache-sling-scripting-sightly-runtime.git,1,3000,1.0
201,ant-easyant-tasks,https://github.com/apache/ant-easyant-tasks.git,3,3100,1.0
202,sling-org-apache-sling-serviceusermapper,https://github.com/apache/sling-org-apache-sling-serviceusermapper.git,2,3100,1.0
203,sling-org-apache-sling-hapi,https://github.com/apache/sling-org-apache-sling-hapi.git,2,3100,1.0
204,sling-org-apache-sling-models-api,https://github.com/apache/sling-org-apache-sling-models-api.git,2,3100,1.0
205,sling-org-apache-sling-scripting-sightly-testing,https://github.com/apache/sling-org-apache-sling-scripting-sightly-testing.git,1,3100,1.0
206,incubator-optiq-csv,https://github.com/apache/incubator-optiq-csv.git,2,3200,1.0
207,nifi-maven,https://github.com/apache/nifi-maven.git,17,3200,1.0
208,karaf-boot,https://github.com/apache/karaf-boot.git,8,3300,1.0
209,incubator-streampipes-examples,https://github.com/apache/incubator-streampipes-examples.git,2,3400,1.0
210,sling-org-apache-sling-cassandra,https://github.com/apache/sling-org-apache-sling-cassandra.git,2,3400,1.0
211,commons-testing,https://github.com/apache/commons-testing.git,5,3500,1.0
212,sling-org-apache-sling-jcr-classloader,https://github.com/apache/sling-org-apache-sling-jcr-classloader.git,2,3500,1.0
213,sling-project-archetype,https://github.com/apache/sling-project-archetype.git,4,3500,1.0
214,activemq-nms-openwire-generator,https://github.com/apache/activemq-nms-openwire-generator.git,2,3500,1.0
215,sling-org-apache-sling-scripting-freemarker,https://github.com/apache/sling-org-apache-sling-scripting-freemarker.git,3,3600,1.0
216,sling-org-apache-sling-feature-apiregions,https://github.com/apache/sling-org-apache-sling-feature-apiregions.git,2,3600,1.0
217,sling-org-apache-sling-feature-extension-apiregions,https://github.com/apache/sling-org-apache-sling-feature-extension-apiregions.git,1,3600,1.0
218,sling-org-apache-sling-distribution-journal-it,https://github.com/apache/sling-org-apache-sling-distribution-journal-it.git,1,3600,1.0
219,sling-org-apache-sling-adapter,https://github.com/apache/sling-org-apache-sling-adapter.git,2,3700,1.0
220,sling-org-apache-sling-scripting-thymeleaf,https://github.com/apache/sling-org-apache-sling-scripting-thymeleaf.git,2,3700,1.0
221,fineract-cn-lang,https://github.com/apache/fineract-cn-lang.git,3,3800,1.0
222,sling-org-apache-sling-installer-provider-jcr,https://github.com/apache/sling-org-apache-sling-installer-provider-jcr.git,3,3800,1.0
223,karaf-reactive-components,https://github.com/apache/karaf-reactive-components.git,1,3800,1.0
224,sling-org-apache-sling-resourcemerger,https://github.com/apache/sling-org-apache-sling-resourcemerger.git,2,3800,1.0
225,sling-org-apache-sling-tracer,https://github.com/apache/sling-org-apache-sling-tracer.git,2,3800,1.0
226,datasketches-server,https://github.com/apache/datasketches-server.git,1,3800,1.0
227,flink-playgrounds,https://github.com/apache/flink-playgrounds.git,238,3800,1.0
228,sling-org-apache-sling-commons-crypto,https://github.com/apache/sling-org-apache-sling-commons-crypto.git,1,3800,1.0
229,sling-org-apache-sling-testing-rules,https://github.com/apache/sling-org-apache-sling-testing-rules.git,3,3800,1.0
230,activemq-cli-tools,https://github.com/apache/activemq-cli-tools.git,7,3800,1.0
231,sling-org-apache-sling-clam,https://github.com/apache/sling-org-apache-sling-clam.git,2,3800,1.0
232,skywalking-kong,https://github.com/apache/skywalking-kong.git,14,3900,1.0
233,tomcat-jakartaee-migration,https://github.com/apache/tomcat-jakartaee-migration.git,48,3900,1.0
234,directory-fortress-realm,https://github.com/apache/directory-fortress-realm.git,4,4000,1.0
235,sling-org-apache-sling-feature-modelconverter,https://github.com/apache/sling-org-apache-sling-feature-modelconverter.git,1,4000,1.0
236,sling-org-apache-sling-jcr-webdav,https://github.com/apache/sling-org-apache-sling-jcr-webdav.git,2,4000,1.0
237,camel-kameleon,https://github.com/apache/camel-kameleon.git,24,4000,1.0
238,sling-org-apache-sling-feature-launcher,https://github.com/apache/sling-org-apache-sling-feature-launcher.git,5,4000,1.0
239,sling-org-apache-sling-jcr-contentparser,https://github.com/apache/sling-org-apache-sling-jcr-contentparser.git,1,4000,1.0
240,logging-log4j-tools,https://github.com/apache/logging-log4j-tools.git,8,4100,1.0
241,fineract-cn-demo-server,https://github.com/apache/fineract-cn-demo-server.git,20,4100,1.0
242,sling-org-apache-sling-performance,https://github.com/apache/sling-org-apache-sling-performance.git,2,4100,1.0
243,geronimo-safeguard,https://github.com/apache/geronimo-safeguard.git,5,4200,1.0
244,sling-org-apache-sling-commons-metrics,https://github.com/apache/sling-org-apache-sling-commons-metrics.git,2,4300,1.0
245,sling-org-apache-sling-auth-form,https://github.com/apache/sling-org-apache-sling-auth-form.git,5,4300,1.0
246,sling-org-apache-sling-jobs,https://github.com/apache/sling-org-apache-sling-jobs.git,4,4300,1.0
247,sling-org-apache-sling-testing-resourceresolver-mock,https://github.com/apache/sling-org-apache-sling-testing-resourceresolver-mock.git,1,4400,1.0
248,sling-org-apache-sling-commons-osgi,https://github.com/apache/sling-org-apache-sling-commons-osgi.git,1,4500,1.0
249,isis-app-demo,https://github.com/apache/isis-app-demo.git,1,4500,1.0
