Name,Repository,Stars,LOC
tika,https://github.com/apache/tika.git,1.3k,3.5*1000000
activemq-artemis,https://github.com/apache/activemq-artemis.git,762,1.3*1000000
ofbiz-plugins,https://github.com/apache/ofbiz-plugins.git,95,365.8*1000
cloudstack,https://github.com/apache/cloudstack.git,1.1k,2.5*1000000
hbase-operator-tools,https://github.com/apache/hbase-operator-tools.git,103,19.4*1000
axis-axis2-java-core,https://github.com/apache/axis-axis2-java-core.git,7,682.5*1000
flink-ml,https://github.com/apache/flink-ml.git,58,30.9*1000
commons-statistics,https://github.com/apache/commons-statistics.git,25,49.1*1000
incubator-streampipes,https://github.com/apache/incubator-streampipes.git,279,109.1*1000
roller,https://github.com/apache/roller.git,104,118.6*1000
geode-benchmarks,https://github.com/apache/geode-benchmarks.git,4,22.4*1000
incubator-sedona,https://github.com/apache/incubator-sedona.git,1k,868.6*1000
samza,https://github.com/apache/samza.git,709,285.3*1000
accumulo,https://github.com/apache/accumulo.git,895,854.6*1000
tinkerpop,https://github.com/apache/tinkerpop.git,1.4k,1.1*1000000
incubator-eventmesh,https://github.com/apache/incubator-eventmesh.git,748,55.8*1000
ranger,https://github.com/apache/ranger.git,558,913.1*1000
iceberg,https://github.com/apache/iceberg.git,2.2k,3.2*1000000
submarine,https://github.com/apache/submarine.git,527,163.5*1000
camel-karaf,https://github.com/apache/camel-karaf.git,13,54.7*1000
httpcomponents-core,https://github.com/apache/httpcomponents-core.git,269,137.0*1000
cassandra,https://github.com/apache/cassandra.git,7k,1.1*1000000
ignite-3,https://github.com/apache/ignite-3.git,43,347.2*1000
maven,https://github.com/apache/maven.git,2.9k,210.6*1000
camel-kamelets,https://github.com/apache/camel-kamelets.git,19,76.6*1000
ignite-teamcity-bot,https://github.com/apache/ignite-teamcity-bot.git,8,73.8*1000
incubator-heron,https://github.com/apache/incubator-heron.git,3.6k,413.9*1000
sling-org-apache-sling-testing-sling-mock,https://github.com/apache/sling-org-apache-sling-testing-sling-mock.git,4,15.0*1000
tomcat,https://github.com/apache/tomcat.git,5.7k,824.6*1000
jmeter,https://github.com/apache/jmeter.git,5.7k,477.1*1000
uima-uimaj,https://github.com/apache/uima-uimaj.git,46,937.3*1000
sling-whiteboard,https://github.com/apache/sling-whiteboard.git,34,102.5*1000
skywalking-java,https://github.com/apache/skywalking-java.git,146,264.5*1000
incubator-inlong,https://github.com/apache/incubator-inlong.git,454,369.4*1000
syncope,https://github.com/apache/syncope.git,158,413.8*1000
ratis,https://github.com/apache/ratis.git,610,101.0*1000
servicecomb-samples,https://github.com/apache/servicecomb-samples.git,486,17.5*1000
turbine-core,https://github.com/apache/turbine-core.git,3,134.5*1000
camel-spring-boot,https://github.com/apache/camel-spring-boot.git,76,360.2*1000
helix,https://github.com/apache/helix.git,352,354.1*1000
sling-org-apache-sling-jcr-contentloader,https://github.com/apache/sling-org-apache-sling-jcr-contentloader.git,1,14.2*1000
commons-lang,https://github.com/apache/commons-lang.git,2.2k,187.9*1000
geode-examples,https://github.com/apache/geode-examples.git,63,10.9*1000
incubator-linkis,https://github.com/apache/incubator-linkis.git,2.3k,591.3*1000
gobblin,https://github.com/apache/gobblin.git,2k,486.0*1000
incubator-hop,https://github.com/apache/incubator-hop.git,173,1.3*1000000
sis,https://github.com/apache/sis.git,79,742.7*1000
accumulo-examples,https://github.com/apache/accumulo-examples.git,31,13.5*1000
dubbo-samples,https://github.com/apache/dubbo-samples.git,1.6k,132.3*1000
felix-dev,https://github.com/apache/felix-dev.git,66,967.3*1000
zeppelin,https://github.com/apache/zeppelin.git,5.5k,477.4*1000
camel-kafka-connector,https://github.com/apache/camel-kafka-connector.git,95,562.4*1000
kylin,https://github.com/apache/kylin.git,3.2k,1.3*1000000
commons-io,https://github.com/apache/commons-io.git,822,92.6*1000
hbase-filesystem,https://github.com/apache/hbase-filesystem.git,7,7.1*1000
sling-org-apache-sling-commons-messaging-mail,https://github.com/apache/sling-org-apache-sling-commons-messaging-mail.git,2,4.5*1000
commons-pool,https://github.com/apache/commons-pool.git,386,32.0*1000
apisix-java-plugin-runner,https://github.com/apache/apisix-java-plugin-runner.git,43,6.4*1000
jackrabbit-filevault,https://github.com/apache/jackrabbit-filevault.git,37,114.9*1000
commons-jcs,https://github.com/apache/commons-jcs.git,80,163.5*1000
sling-org-apache-sling-testing-clients,https://github.com/apache/sling-org-apache-sling-testing-clients.git,7,11.8*1000
parquet-mr,https://github.com/apache/parquet-mr.git,1.4k,168.7*1000
rocketmq-streams,https://github.com/apache/rocketmq-streams.git,65,330.1*1000
systemds,https://github.com/apache/systemds.git,883,3.4*1000000
sling-org-apache-sling-starter,https://github.com/apache/sling-org-apache-sling-starter.git,15,2.8*1000
sling-org-apache-sling-feature-extension-apiregions,https://github.com/apache/sling-org-apache-sling-feature-extension-apiregions.git,1,3.6*1000
sling-org-apache-sling-feature-analyser,https://github.com/apache/sling-org-apache-sling-feature-analyser.git,1,9.2*1000
plc4x,https://github.com/apache/plc4x.git,433,532.1*1000
pulsar-manager,https://github.com/apache/pulsar-manager.git,353,43.7*1000
commons-text,https://github.com/apache/commons-text.git,226,54.8*1000
commons-imaging,https://github.com/apache/commons-imaging.git,286,117.1*1000
deltaspike,https://github.com/apache/deltaspike.git,135,180.9*1000
openwebbeans,https://github.com/apache/openwebbeans.git,51,170.8*1000
tomee,https://github.com/apache/tomee.git,377,1.3*1000000
commons-numbers,https://github.com/apache/commons-numbers.git,45,81.8*1000
oozie,https://github.com/apache/oozie.git,627,354.5*1000
accumulo-testing,https://github.com/apache/accumulo-testing.git,14,33.0*1000
cxf-fediz,https://github.com/apache/cxf-fediz.git,18,103.8*1000
jackrabbit,https://github.com/apache/jackrabbit.git,281,660.2*1000
xmlgraphics-fop,https://github.com/apache/xmlgraphics-fop.git,134,692.1*1000
sling-org-apache-sling-testing-osgi-mock,https://github.com/apache/sling-org-apache-sling-testing-osgi-mock.git,2,14.1*1000
turbine-fulcrum-json,https://github.com/apache/turbine-fulcrum-json.git,1,10.2*1000
bahir-flink,https://github.com/apache/bahir-flink.git,564,29.7*1000
sling-org-apache-sling-testing-sling-mock-oak,https://github.com/apache/sling-org-apache-sling-testing-sling-mock-oak.git,3,2.9*1000
guacamole-client,https://github.com/apache/guacamole-client.git,911,210.3*1000
rocketmq-dashboard,https://github.com/apache/rocketmq-dashboard.git,159,290.4*1000
openjpa,https://github.com/apache/openjpa.git,96,850.5*1000
jackrabbit-oak,https://github.com/apache/jackrabbit-oak.git,335,955.3*1000
sling-org-apache-sling-resourceresolver,https://github.com/apache/sling-org-apache-sling-resourceresolver.git,6,29.6*1000
brooklyn-server,https://github.com/apache/brooklyn-server.git,34,515.7*1000
incubator-wayang,https://github.com/apache/incubator-wayang.git,32,185.0*1000
sling-org-apache-sling-testing-caconfig-mock-plugin,https://github.com/apache/sling-org-apache-sling-testing-caconfig-mock-plugin.git,1,1.4*1000
sling-org-apache-sling-models-integration-tests,https://github.com/apache/sling-org-apache-sling-models-integration-tests.git,1,23.2*1000
sling-org-apache-sling-models-validation-impl,https://github.com/apache/sling-org-apache-sling-models-validation-impl.git,1,1.1*1000
sling-org-apache-sling-models-jacksonexporter,https://github.com/apache/sling-org-apache-sling-models-jacksonexporter.git,1,1.8*1000
sling-org-apache-sling-models-impl,https://github.com/apache/sling-org-apache-sling-models-impl.git,15,16.4*1000
sling-org-apache-sling-models-api,https://github.com/apache/sling-org-apache-sling-models-api.git,2,3.1*1000
xmlgraphics-commons,https://github.com/apache/xmlgraphics-commons.git,14,79.7*1000
commons-compress,https://github.com/apache/commons-compress.git,207,143.5*1000
archiva-components,https://github.com/apache/archiva-components.git,1,18.1*1000
wicket,https://github.com/apache/wicket.git,592,515.8*1000
juneau,https://github.com/apache/juneau.git,68,229.2*1000
commons-collections,https://github.com/apache/commons-collections.git,527,137.8*1000
sling-org-apache-sling-commons-metrics,https://github.com/apache/sling-org-apache-sling-commons-metrics.git,2,4.3*1000
servicemix-bundles,https://github.com/apache/servicemix-bundles.git,41,108.7*1000
activemq,https://github.com/apache/activemq.git,2k,947.9*1000
commons-release-plugin,https://github.com/apache/commons-release-plugin.git,9,8.5*1000
datasketches-java,https://github.com/apache/datasketches-java.git,745,113.3*1000
jspwiki,https://github.com/apache/jspwiki.git,79,429.7*1000
nutch,https://github.com/apache/nutch.git,2.3k,30*1000
commons-csv,https://github.com/apache/commons-csv.git,259,36.2*1000
nifi-maven,https://github.com/apache/nifi-maven.git,17,3.2*1000
sling-org-apache-sling-validation-core,https://github.com/apache/sling-org-apache-sling-validation-core.git,1,5.7*1000
commons-ognl,https://github.com/apache/commons-ognl.git,62,40.3*1000
dubbo-admin,https://github.com/apache/dubbo-admin.git,3.4k,57.8*1000
sling-org-apache-sling-testing-resourceresolver-mock,https://github.com/apache/sling-org-apache-sling-testing-resourceresolver-mock.git,1,4.4*1000
sling-org-apache-sling-validation-examples,https://github.com/apache/sling-org-apache-sling-validation-examples.git,1,824
sling-jspc-maven-plugin,https://github.com/apache/sling-jspc-maven-plugin.git,2,5.0*1000
sling-org-apache-sling-feature-launcher,https://github.com/apache/sling-org-apache-sling-feature-launcher.git,5,4.0*1000
sling-org-apache-sling-validation-test-services,https://github.com/apache/sling-org-apache-sling-validation-test-services.git,1,641
ws-wss4j,https://github.com/apache/ws-wss4j.git,10,196.7*1000
santuario-xml-security-java,https://github.com/apache/santuario-xml-security-java.git,16,208.5*1000
sling-org-apache-sling-validation-api,https://github.com/apache/sling-org-apache-sling-validation-api.git,1,1.4*1000
rocketmq-spring,https://github.com/apache/rocketmq-spring.git,1.5k,9.6*1000
velocity-tools,https://github.com/apache/velocity-tools.git,35,72.2*1000
hbase-thirdparty,https://github.com/apache/hbase-thirdparty.git,11,6.5*1000
camel-performance-tests,https://github.com/apache/camel-performance-tests.git,4,56.4*1000
dubbo-hessian-lite,https://github.com/apache/dubbo-hessian-lite.git,36,27.2*1000
commons-jexl,https://github.com/apache/commons-jexl.git,105,57.6*1000
commons-cli,https://github.com/apache/commons-cli.git,233,9.9*1000
commons-dbcp,https://github.com/apache/commons-dbcp.git,270,56.0*1000
tez,https://github.com/apache/tez.git,344,439.5*1000
plc4x-build-tools,https://github.com/apache/plc4x-build-tools.git,8,16.4*1000
commons-math,https://github.com/apache/commons-math.git,427,433.1*1000
commons-codec,https://github.com/apache/commons-codec.git,331,55.8*1000
sling-org-apache-sling-superimposing,https://github.com/apache/sling-org-apache-sling-superimposing.git,2,2.3*1000
incubator-tuweni,https://github.com/apache/incubator-tuweni.git,127,8.0*1000000
commons-fileupload,https://github.com/apache/commons-fileupload.git,160,16.2*1000
sling-org-apache-sling-testing-jcr-mock,https://github.com/apache/sling-org-apache-sling-testing-jcr-mock.git,1,5.5*1000
skywalking-banyandb-java-client,https://github.com/apache/skywalking-banyandb-java-client.git,10,8.4*1000
commons-crypto,https://github.com/apache/commons-crypto.git,83,19.2*1000
commons-chain,https://github.com/apache/commons-chain.git,48,26.9*1000
commons-dbutils,https://github.com/apache/commons-dbutils.git,289,18.0*1000
openmeetings,https://github.com/apache/openmeetings.git,518,179.2*1000
incubator-hivemall,https://github.com/apache/incubator-hivemall.git,296,152.6*1000
flink-statefun,https://github.com/apache/flink-statefun.git,319,85.4*1000
servicecomb-java-chassis,https://github.com/apache/servicecomb-java-chassis.git,1.7k,315.7*1000
sling-feature-launcher-maven-plugin,https://github.com/apache/sling-feature-launcher-maven-plugin.git,1,1.5*1000
uima-ruta,https://github.com/apache/uima-ruta.git,10,216.0*1000
incubator-datalab,https://github.com/apache/incubator-datalab.git,96,235.7*1000
sling-org-apache-sling-feature-cpconverter,https://github.com/apache/sling-org-apache-sling-feature-cpconverter.git,7,19.4*1000
camel-quarkus-examples,https://github.com/apache/camel-quarkus-examples.git,30,13.5*1000
ignite-extensions,https://github.com/apache/ignite-extensions.git,21,79.6*1000
mina,https://github.com/apache/mina.git,805,46.5*1000
james-mime4j,https://github.com/apache/james-mime4j.git,38,114.6*1000
jackrabbit-filevault-package-maven-plugin,https://github.com/apache/jackrabbit-filevault-package-maven-plugin.git,7,25.1*1000
sling-org-apache-sling-servlets-resolver,https://github.com/apache/sling-org-apache-sling-servlets-resolver.git,5,16.6*1000
sling-org-apache-sling-installer-provider-file,https://github.com/apache/sling-org-apache-sling-installer-provider-file.git,2,1.4*1000
camel-k-runtime,https://github.com/apache/camel-k-runtime.git,40,46.0*1000
sling-org-apache-sling-pipes,https://github.com/apache/sling-org-apache-sling-pipes.git,7,14.7*1000
sling-org-apache-sling-scripting-core,https://github.com/apache/sling-org-apache-sling-scripting-core.git,1,12.8*1000
turbine-fulcrum-testcontainer,https://github.com/apache/turbine-fulcrum-testcontainer.git,1,2.9*1000
ant-ivy,https://github.com/apache/ant-ivy.git,51,411.6*1000
johnzon,https://github.com/apache/johnzon.git,38,135.4*1000
commons-net,https://github.com/apache/commons-net.git,163,65.5*1000
commons-configuration,https://github.com/apache/commons-configuration.git,138,72.3*1000
commons-beanutils,https://github.com/apache/commons-beanutils.git,205,73.8*1000
flink-benchmarks,https://github.com/apache/flink-benchmarks.git,67,9.6*1000
sling-scriptingbundle-maven-plugin,https://github.com/apache/sling-scriptingbundle-maven-plugin.git,2,5.3*1000
sling-org-apache-sling-scripting-bundle-tracker-it,https://github.com/apache/sling-org-apache-sling-scripting-bundle-tracker-it.git,1,6.6*1000
commons-geometry,https://github.com/apache/commons-geometry.git,25,143.0*1000
commons-logging,https://github.com/apache/commons-logging.git,111,19.7*1000
commons-email,https://github.com/apache/commons-email.git,91,19.3*1000
datasketches-memory,https://github.com/apache/datasketches-memory.git,99,28.7*1000
sling-org-apache-sling-launchpad-test-services,https://github.com/apache/sling-org-apache-sling-launchpad-test-services.git,2,8.7*1000
rocketmq-flink,https://github.com/apache/rocketmq-flink.git,29,9.0*1000
datafu,https://github.com/apache/datafu.git,85,68.4*1000
sling-org-apache-sling-discovery-standalone,https://github.com/apache/sling-org-apache-sling-discovery-standalone.git,1,1.1*1000
ambari,https://github.com/apache/ambari.git,1.6k,2.6*1000000
sling-org-apache-sling-jcr-jackrabbit-usermanager,https://github.com/apache/sling-org-apache-sling-jcr-jackrabbit-usermanager.git,2,15.5*1000
directory-ldap-api,https://github.com/apache/directory-ldap-api.git,24,509.6*1000
cassandra-harry,https://github.com/apache/cassandra-harry.git,43,20.6*1000
directory-server,https://github.com/apache/directory-server.git,89,1.2*1000000
qpid-broker-j,https://github.com/apache/qpid-broker-j.git,45,594.7*1000
curator,https://github.com/apache/curator.git,2.7k,103.1*1000
opennlp,https://github.com/apache/opennlp.git,1.1k,279.4*1000
cassandra-sidecar,https://github.com/apache/cassandra-sidecar.git,24,7.4*1000
sling-org-apache-sling-i18n,https://github.com/apache/sling-org-apache-sling-i18n.git,5,5.2*1000
incubator-streampipes-examples,https://github.com/apache/incubator-streampipes-examples.git,2,3.4*1000
freemarker,https://github.com/apache/freemarker.git,710,250.3*1000
incubator-streampipes-extensions,https://github.com/apache/incubator-streampipes-extensions.git,23,79.3*1000
flink-training,https://github.com/apache/flink-training.git,365,6.7*1000
qpid-protonj2,https://github.com/apache/qpid-protonj2.git,8,232.3*1000
commons-bsf,https://github.com/apache/commons-bsf.git,14,24.4*1000
commons-bcel,https://github.com/apache/commons-bcel.git,165,161.4*1000
aries-cdi,https://github.com/apache/aries-cdi.git,7,51.6*1000
db-jdo,https://github.com/apache/db-jdo.git,7,346.9*1000
uima-uimafit,https://github.com/apache/uima-uimafit.git,27,47.2*1000
mahout,https://github.com/apache/mahout.git,2k,477.3*1000
shardingsphere-elasticjob-ui,https://github.com/apache/shardingsphere-elasticjob-ui.git,89,31.7*1000
qpid-jms,https://github.com/apache/qpid-jms.git,59,171.3*1000
xmlgraphics-fop-pdf-images,https://github.com/apache/xmlgraphics-fop-pdf-images.git,5,13.4*1000
sling-org-apache-sling-scripting-sightly,https://github.com/apache/sling-org-apache-sling-scripting-sightly.git,10,7.0*1000
sling-org-apache-sling-jcr-resourcesecurity,https://github.com/apache/sling-org-apache-sling-jcr-resourcesecurity.git,1,565
sling-org-apache-sling-jcr-resource,https://github.com/apache/sling-org-apache-sling-jcr-resource.git,4,19.1*1000
sling-org-apache-sling-resourceaccesssecurity,https://github.com/apache/sling-org-apache-sling-resourceaccesssecurity.git,2,1.7*1000
sling-org-apache-sling-servlets-post,https://github.com/apache/sling-org-apache-sling-servlets-post.git,10,20.3*1000
sling-org-apache-sling-adapter,https://github.com/apache/sling-org-apache-sling-adapter.git,2,3.7*1000
sling-org-apache-sling-engine,https://github.com/apache/sling-org-apache-sling-engine.git,8,28.7*1000
sling-org-apache-sling-api,https://github.com/apache/sling-org-apache-sling-api.git,10,34.5*1000
camel-k-examples,https://github.com/apache/camel-k-examples.git,38,114.6*1000
gora,https://github.com/apache/gora.git,102,129.9*1000
directory-studio,https://github.com/apache/directory-studio.git,81,535.5*1000
shiro,https://github.com/apache/shiro.git,3.7k,18.8*1000
isis-app-simpleapp,https://github.com/apache/isis-app-simpleapp.git,5,9.7*1000
commons-exec,https://github.com/apache/commons-exec.git,80,11.6*1000
commons-digester,https://github.com/apache/commons-digester.git,42,89.3*1000
maven-install-plugin,https://github.com/apache/maven-install-plugin.git,13,8.4*1000
commons-scxml,https://github.com/apache/commons-scxml.git,25,43.4*1000
commons-rdf,https://github.com/apache/commons-rdf.git,30,28.8*1000
commons-validator,https://github.com/apache/commons-validator.git,138,42.3*1000
sling-org-apache-sling-commons-clam,https://github.com/apache/sling-org-apache-sling-commons-clam.git,2,1.5*1000
incubator-nemo,https://github.com/apache/incubator-nemo.git,90,101.5*1000
empire-db,https://github.com/apache/empire-db.git,28,113.3*1000
cassandra-in-jvm-dtest-api,https://github.com/apache/cassandra-in-jvm-dtest-api.git,3,5.8*1000
logging-log4j-tools,https://github.com/apache/logging-log4j-tools.git,8,4.1*1000
sling-org-apache-sling-hapi-client,https://github.com/apache/sling-org-apache-sling-hapi-client.git,2,2.2*1000
geronimo-batchee,https://github.com/apache/geronimo-batchee.git,2,66.3*1000
sling-org-apache-sling-clam,https://github.com/apache/sling-org-apache-sling-clam.git,2,3.8*1000
turbine-fulcrum-upload,https://github.com/apache/turbine-fulcrum-upload.git,1,1.7*1000
turbine-fulcrum-quartz,https://github.com/apache/turbine-fulcrum-quartz.git,1,1.9*1000
turbine-fulcrum-pool,https://github.com/apache/turbine-fulcrum-pool.git,1,2.1*1000
turbine-fulcrum-parser,https://github.com/apache/turbine-fulcrum-parser.git,1,9.0*1000
turbine-fulcrum-localization,https://github.com/apache/turbine-fulcrum-localization.git,1,2.5*1000
turbine-fulcrum-intake,https://github.com/apache/turbine-fulcrum-intake.git,1,26.5*1000
turbine-fulcrum-factory,https://github.com/apache/turbine-fulcrum-factory.git,1,2.0*1000
turbine-fulcrum-crypto,https://github.com/apache/turbine-fulcrum-crypto.git,1,1.6*1000
turbine-fulcrum-yaafi-crypto,https://github.com/apache/turbine-fulcrum-yaafi-crypto.git,1,8.0*1000
freemarker-generator,https://github.com/apache/freemarker-generator.git,26,37.1*1000
cassandra-diff,https://github.com/apache/cassandra-diff.git,10,8.7*1000
commons-rng,https://github.com/apache/commons-rng.git,32,1.0*1000000
fineract-cn-mobile,https://github.com/apache/fineract-cn-mobile.git,31,42.1*1000
airavata-mft,https://github.com/apache/airavata-mft.git,4,23.0*1000
sling-org-apache-sling-contentparser-xml-jcr,https://github.com/apache/sling-org-apache-sling-contentparser-xml-jcr.git,1,1.2*1000
pig,https://github.com/apache/pig.git,640,624.1*1000
sling-org-apache-sling-commons-log,https://github.com/apache/sling-org-apache-sling-commons-log.git,2,14.3*1000
infrastructure-jenkins,https://github.com/apache/infrastructure-jenkins.git,3,38.7*1000
geronimo-xbean,https://github.com/apache/geronimo-xbean.git,8,99.7*1000
sling-org-apache-sling-commons-content-processing,https://github.com/apache/sling-org-apache-sling-commons-content-processing.git,1,538
sling-org-apache-sling-commons-content-analyzing,https://github.com/apache/sling-org-apache-sling-commons-content-analyzing.git,1,536
sling-org-apache-sling-commons-messaging,https://github.com/apache/sling-org-apache-sling-commons-messaging.git,2,521
aries,https://github.com/apache/aries.git,97,368.0*1000
sling-org-apache-sling-commons-crypto,https://github.com/apache/sling-org-apache-sling-commons-crypto.git,1,3.8*1000
cordova-plugin-splashscreen,https://github.com/apache/cordova-plugin-splashscreen.git,618,5.0*1000
dubbo-spi-extensions,https://github.com/apache/dubbo-spi-extensions.git,70,43.7*1000
fineract-cn-accounting,https://github.com/apache/fineract-cn-accounting.git,17,16.6*1000
camel-kameleon,https://github.com/apache/camel-kameleon.git,24,4.0*1000
openwebbeans-meecrowave,https://github.com/apache/openwebbeans-meecrowave.git,54,44.8*1000
log4j,https://github.com/apache/log4j.git,805,127.7*1000
qpid-proton-j,https://github.com/apache/qpid-proton-j.git,28,108.7*1000
turbine-fulcrum-yaafi,https://github.com/apache/turbine-fulcrum-yaafi.git,1,23.6*1000
shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob.git,7.4k,91.5*1000
isis-app-demo,https://github.com/apache/isis-app-demo.git,1,4.5*1000
skywalking-agent-test-tool,https://github.com/apache/skywalking-agent-test-tool.git,17,7.7*1000
sling-org-apache-sling-repoinit-parser,https://github.com/apache/sling-org-apache-sling-repoinit-parser.git,4,5.5*1000
iotdb-web-workbench,https://github.com/apache/iotdb-web-workbench.git,11,36.0*1000
oodt,https://github.com/apache/oodt.git,55,307.0*1000
uima-async-scaleout,https://github.com/apache/uima-async-scaleout.git,1,130.2*1000
sling-org-apache-sling-xss,https://github.com/apache/sling-org-apache-sling-xss.git,9,11.0*1000
phoenix-omid,https://github.com/apache/phoenix-omid.git,68,46.6*1000
sling-htl-maven-plugin,https://github.com/apache/sling-htl-maven-plugin.git,2,2.5*1000
rocketmq-exporter,https://github.com/apache/rocketmq-exporter.git,167,8.1*1000
netbeans-jackpot30,https://github.com/apache/netbeans-jackpot30.git,4,77.0*1000
creadur-tentacles,https://github.com/apache/creadur-tentacles.git,2,4.6*1000
sling-org-apache-sling-javax-activation,https://github.com/apache/sling-org-apache-sling-javax-activation.git,2,1.1*1000
sling-org-apache-sling-security,https://github.com/apache/sling-org-apache-sling-security.git,5,2.8*1000
sling-org-apache-sling-thumbnails,https://github.com/apache/sling-org-apache-sling-thumbnails.git,1,9.5*1000
parquet-format,https://github.com/apache/parquet-format.git,952,6.6*1000
sling-org-apache-sling-jms,https://github.com/apache/sling-org-apache-sling-jms.git,3,2.6*1000
karaf-decanter,https://github.com/apache/karaf-decanter.git,31,46.3*1000
axis-axis2-java-rampart,https://github.com/apache/axis-axis2-java-rampart.git,1,66.7*1000
james-jspf,https://github.com/apache/james-jspf.git,15,22.2*1000
sling-org-apache-sling-commons-threads,https://github.com/apache/sling-org-apache-sling-commons-threads.git,6,4.8*1000
commons-jxpath,https://github.com/apache/commons-jxpath.git,16,46.9*1000
fineract-cn-deposit-account-management,https://github.com/apache/fineract-cn-deposit-account-management.git,6,14.9*1000
olingo-odata2,https://github.com/apache/olingo-odata2.git,34,293.8*1000
sling-org-apache-sling-discovery-oak,https://github.com/apache/sling-org-apache-sling-discovery-oak.git,1,5.6*1000
velocity-engine,https://github.com/apache/velocity-engine.git,245,87.9*1000
james-jdkim,https://github.com/apache/james-jdkim.git,18,9.0*1000
aries-rsa,https://github.com/apache/aries-rsa.git,10,26.9*1000
olingo-odata4,https://github.com/apache/olingo-odata4.git,116,337.9*1000
sling-org-apache-sling-distribution-core,https://github.com/apache/sling-org-apache-sling-distribution-core.git,5,31.3*1000
sling-org-apache-sling-discovery-commons,https://github.com/apache/sling-org-apache-sling-discovery-commons.git,1,11.5*1000
sling-slingfeature-maven-plugin,https://github.com/apache/sling-slingfeature-maven-plugin.git,2,18.5*1000
sling-maven-plugin,https://github.com/apache/sling-maven-plugin.git,4,5.3*1000
commons-functor,https://github.com/apache/commons-functor.git,15,46.2*1000
